2020-02-14/20:43:47		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:50		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:52		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:52		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:52		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:53		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:53		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:53		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:53		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:53		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:53		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:53		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:53		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:53		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:53		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:53		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:53		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:54		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:54		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:54		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:54		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:54		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:54		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:54		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:54		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:54		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:54		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:54		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:54		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:55		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:55		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:55		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:55		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:55		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:43:55		 visibility_08012020_120000.csv: File loaded successfully!!
